"","half_of_time_with_data","uses_biodiversity_data","produces_biodiversity_data","manages_biodiversity_data","EOVs","EBVs","emodnet","obis","gbif","national_repos","project_repos","geological","biological","socioeconomic","acoustic","fishery","satellite","pollution","physical","chemical","numeric","visual","reporting","spatial_planning","eia","conservation","policy_eval","policymaking","scientific_research","communication","education","decision_making","protected_area_mgmt","indicator_dev","product_dev","maps","scenarios","models","graphs","tools_integrate_data","other","access","data_gettinghold","technical","data_timing","data_cost","data_consistency","lack_metadata","data_interoperable","data_interpretation","affiliation","area_of_work","region","ecosystem","marine_ecosystem","freshwater_ecosystem","coastal_ecosystem","encourage_data_use","data_literacy_binary"
"1",1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,"University","Academia, research and education","Western Europe","Marine",1,0,0,0,1
"2",1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,"Other","Public engagement","Western Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,0
"3",1,2,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,"Nongovernmental organization (NGO)","Academia, research and education","Western Europe","Marine,Coastal",1,0,1,0,0
"4",2,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,2,2,2,"University","Academia, research and education","Northern America","Marine,Coastal,Freshwater",1,1,1,0,1
"5",2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"University","Academia, research and education","Northern America","Marine,Coastal,Freshwater,Terrestrial",1,1,1,0,0
"6",1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,"Business and Industry","Product development and construction","Western Europe","Marine",1,0,0,1,1
"7",2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,"University","Other","Northern America","Marine,Coastal",1,0,1,1,0
"8",1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,"National governmental institution","Academia, research and education","Northern America","Marine,Coastal",1,0,1,1,0
"9",2,2,2,2,1,1,1,2,1,1,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,2,1,1,2,"University","Conservation and environmental management","Northern America","Marine,Coastal",1,0,1,1,1
"10",1,2,2,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,"National governmental institution","Academia, research and education","Latin America & Caribbean","Marine,Coastal",1,0,1,1,1
"11",2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,"Nongovernmental organization (NGO)","Data management","Northern America","Marine,Coastal",1,0,1,0,1
"12",1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,2,1,1,"University","Academia, research and education","Latin America & Caribbean","Marine",1,0,0,0,1
"13",1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,"Other academic research institution","Academia, research and education","Western Europe","Freshwater,Terrestrial",0,1,0,1,1
"14",1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,"University","Academia, research and education","Western Europe","Terrestrial",0,0,0,1,1
"15",1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,"University","Academia, research and education","Western Europe","Terrestrial",0,0,0,1,1
"16",1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,"University","Academia, research and education","Western Europe","Freshwater,Terrestrial",0,1,0,1,1
"17",1,2,2,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,"Business and Industry","Conservation and environmental management","Western Europe","Terrestrial",0,0,0,0,1
"18",1,2,2,2,1,2,1,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,"Other","Academia, research and education","Western Europe","Terrestrial",0,0,0,1,0
"19",1,2,2,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,"National governmental institution","Academia, research and education","Western Europe","Terrestrial",0,0,0,1,1
"20",2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,"Other academic research institution","Academia, research and education","Western Europe","Terrestrial",0,0,0,1,1
"21",2,2,2,2,2,2,1,2,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,"University","Data management","Northern America","Marine,Coastal",1,0,1,0,1
"22",2,2,2,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,2,2,1,2,1,2,2,1,1,1,1,2,1,2,1,2,2,2,1,1,2,1,2,2,2,1,1,2,"Other","Other","Western Europe","Freshwater,Terrestrial",0,1,0,1,1
"23",2,2,2,2,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,"Other academic research institution","Conservation and environmental management","Southern Europe","Marine,Coastal",1,0,1,0,0
"24",1,2,2,2,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,"University","Academia, research and education","Latin America & Caribbean","Marine,Coastal",1,0,1,1,0
"25",1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,1,2,2,1,2,"National governmental institution","Conservation and environmental management","Northern America","Marine,Coastal,Freshwater",1,1,1,1,1
"26",2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,"University","Academia, research and education","Latin America & Caribbean","Marine,Coastal",1,0,1,0,1
"27",1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,"International organization","Management and administration","Southern Europe","Marine,Coastal,Freshwater",1,1,1,1,0
"28",1,1,2,2,1,2,1,1,2,1,2,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,1,"University","Conservation and environmental management","Western Europe","Marine,Terrestrial",1,0,0,1,1
"29",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,"National governmental institution","Academia, research and education","Latin America & Caribbean","Marine,Coastal",1,0,1,1,1
"30",2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,"University","Academia, research and education","Latin America & Caribbean","Marine,Coastal,Freshwater",1,1,1,0,1
"31",1,2,2,1,1,2,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"Other","Academia, research and education","Oceania","Marine,Coastal,Freshwater,Terrestrial",1,1,1,0,1
"32",1,2,2,2,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,"Business and Industry","Product development and construction","Northern America","Marine",1,0,0,1,1
"33",2,2,1,2,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,"Other academic research institution","Conservation and environmental management","Northern America","Freshwater",0,1,0,1,1
"34",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,2,1,2,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,"European Union and its agencies","Conservation and environmental management","Northern America","Marine,Coastal",1,0,1,1,1
"35",2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,"Business and Industry","Management and administration","Northern America","Terrestrial",0,0,0,0,1
"36",2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,"Business and Industry","Conservation and environmental management","Asia","Freshwater",0,1,0,1,1
"37",2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,"University","Management and administration","Latin America & Caribbean","Terrestrial",0,0,0,1,1
"38",2,2,2,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,2,2,2,"University","Academia, research and education","Western Europe","Marine",1,0,0,0,1
"39",1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,"University","Academia, research and education","Northern America","Freshwater,Terrestrial",0,1,0,1,1
"40",2,1,2,2,2,1,1,2,2,1,2,1,2,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,"Other academic research institution","Academia, research and education","Western Europe","Marine",1,0,0,1,1
"41",2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,"National governmental institution","Conservation and environmental management","Northern America","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,1
"42",2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,1,2,2,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,2,1,2,2,1,"International organization","Product development and construction","Northern America","Terrestrial",0,0,0,1,1
"43",1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,"University","Academia, research and education","Western Europe","Marine",1,0,0,1,1
"44",1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,2,"Local or regional governmental institution","Conservation and environmental management","Western Asia","Terrestrial",0,0,0,1,1
"45",1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,"Business and Industry","Management and administration","Western Europe","Freshwater",0,1,0,1,1
